Username,Trial,Time[sec],Error[pixels],Mouse,Standarddeviation of time,Standard deviation of error pixels
Ayaka_test3,0,19.7380001545,43.5855371534,,2.1954385829,9.8652044977
Ayaka_test3,1,16.6419999599,58.7308126916,,,
Ayaka_test3,2,14.3819999695,67.4650949465,,,
Angus_test3,0,23.0580000877,49.2820708737,,1.3667012792,10.0565084161
Angus_test3,1,19.8529999256,42.2927723216,,,
Angus_test3,2,22.2929999828,66.2437752846,,,
Ayaka_test3,0,8.1789999008,4.6480590023,mouse,0.829742188,1.2903753309
Ayaka_test3,1,6.2790000439,7.7955597205,mouse,,
Ayaka_test3,2,6.6040000916,6.4722842058,mouse,,
Angus_test3,0,6.3489999771,3.7815206952,mouse,0.4603783512,0.3131518082
Angus_test3,1,5.4820001125,4.1849356147,mouse,,
Angus_test3,2,5.2909998894,4.548233066,mouse,,
